,log10_kcat_mean,log10_kcat_std,log10_kcat_max,log10_kcat_max_std
USHD,0.702544969,1.380360975,3.731203546,0.285050909
LPADSS,1.029222445,1.003243657,3.194688123,0.236798616
TMDK1,0.505632993,1.069647604,3.965686376,0.02120704
PPCDC,0.95144274,1.210426259,3.762170654,0.191865209
FTHFD,1.088424481,1.223249557,3.926729334,0.211214191
EDD,1.367653533,1.738420325,6.347020915,0.373292586
DHAD1,1.367653533,1.738420325,6.335193958,0.3815584
IPPMIa,1.367653533,1.738420325,6.385851117,0.351364153
IPPMIa_REV,1.367653533,1.738420325,6.375986072,0.367188684
G3PD7,1.168718563,1.286201015,3.358327118,0.386634359
GLCS1,1.029222445,1.003243657,3.210693695,0.228209546
HEMEOS,-0.039383997,0.411746633,0.327691903,0.128180446
AGMT,0.450648218,1.116911026,1.175542931,0.640942205
ARGSS,0.376886893,1.47484136,5.197767617,1.279995926
AGPR,2.51851394,1,2.51851394,1
AGPR_REV,0.964934541,1.109275369,4.602074331,0.600387382
ALTRH,1.367653533,1.738420325,6.349535577,0.381232556
MACPD,-1.096910013,1,-1.096910013,1
DMQMT,-0.949969403,1.806388936,2.060082372,0.420945812
DNMPPA,0.702544969,1.380360975,3.842549423,0.15438166
HEX7,0.505632993,1.069647604,3.966929555,0.017404502
OPHBDC,0.95144274,1.210426259,3.760191765,0.188753867
OHPHM,-0.949969403,1.806388936,1.999526897,0.536430707
INSK,0.505632993,1.069647604,3.941675313,0.06080575
HEX4,-0.677780705,0,-0.677780705,2.22E-16
PYDXPP,0.925689517,1.414702113,6.086828689,1.063743422
PDXPP,0.925689517,1.414702113,6.221502066,1.016008147
ECOAH1,1.367653533,1.738420325,6.621611091,0.124196511
ECOAH1_REV,1.367653533,1.738420325,6.607000145,0.158893525
ECOAH2,1.367653533,1.738420325,6.541325723,0.253120894
ECOAH2_REV,1.367653533,1.738420325,6.54147539,0.252749
ECOAH3,1.367653533,1.738420325,6.526864444,0.267138016
ECOAH3_REV,1.367653533,1.738420325,6.504030438,0.288067118
CDPMEK,0.505632993,1.069647604,3.959947038,0.034675439
CMPN,-0.069193038,1.517500238,3.351932308,0.773235622
UDPG4E,1.73805555,1.474252424,4.571631298,0.314887814
UDPG4E_REV,1.73805555,1.474252424,4.620708757,0.3401018
CINNDO,0.444200516,1.366257467,3.077385069,0.351884716
DHPPD,0.985422607,1.0766443,3.703103404,0.377139884
DHCIND,0.985422607,1.0766443,3.63861845,0.420042703
CITL,0.442116082,1.07079873,2.65428565,0.156700517
SADT2,0.409691186,1.167472543,2.776536732,0.166593012
LCARS,1.181547501,1.248296108,5.755801267,0.201390321
LCARS_REV,1.181547501,1.248296108,5.792314534,0.177152457
SBTPD,1.181547501,1.248296108,5.778510713,0.177319726
SBTPD_REV,1.181547501,1.248296108,5.736117351,0.239039696
GLTPD,1.181547501,1.248296108,5.863951372,0.067055792
GLTPD_REV,1.181547501,1.248296108,5.85886427,0.077592123
MANAO,1.181547501,1.248296108,5.798412969,0.176817568
MANAO_REV,1.181547501,1.248296108,5.788981724,0.169867384
TAGURr,1.181547501,1.248296108,5.768197116,0.16624189
TAGURr_REV,1.181547501,1.248296108,5.759261741,0.196391286
TARTD,1.367653533,1.738420325,6.327058084,0.385285474
EDTXS2,0.269073681,1.492070235,6.217086394,0.825922026
RZ5PP,0.925689517,1.414702113,5.944892761,1.110777043
AMANK,0.505632993,1.069647604,3.949440226,0.051672212
ACMAMUT,1.029222445,1.003243657,3.127814522,0.26988014
DDGALK,0.505632993,1.069647604,3.966929555,0.017404502
AADDGT,1.029222445,1.003243657,3.181269803,0.237762128
ALLTN,1.276686067,1.335282043,3.807342821,0.075362395
UAPGR,0.985422607,1.0766443,3.694281557,0.375386253
CRNBTCT,1.221175532,0.938056209,2.428577394,0.075504664
CRNBTCT_REV,1.221175532,0.938056209,2.436344806,0.084066478
CRNCBCT,1.221175532,0.938056209,2.429611002,0.105484878
CRNCBCT_REV,1.221175532,0.938056209,2.436370151,0.076495374
CRNCDH,1.367653533,1.738420325,6.443745114,0.339536646
CRNCDH_REV,1.367653533,1.738420325,6.364551944,0.36643042
HBZOPT,-0.279806329,1.561710059,2.921286946,0.021903506
HETZK,0.505632993,1.069647604,3.940432135,0.061492845
AST,0.249457273,0.964625847,1.081271419,0.782272626
SGDS,1.088424481,1.223249557,3.906802656,0.214958743
CYNTAH,1.367653533,1.738420325,6.425530271,0.353485091
GSPMDS,-0.598686969,0.86164801,0.751536481,0.075479329
GUAD,1.117258642,0.598744702,1.332806734,0.558600249
FRUK,0.505632993,1.069647604,3.942061094,0.06964423
X5PL3E,1.73805555,1.474252424,4.575407239,0.293278211
DOGULNR,1.181547501,1.248296108,5.79032871,0.166827856
GSNK,0.505632993,1.069647604,3.939427366,0.147926051
ADCL,0.442116082,1.07079873,2.668378338,0.149388341
DHAPT,0.98815659,1.531418888,2.700457708,1.110921816
DURIK1,0.505632993,1.069647604,3.964137357,0.03257104
F6PA,1.409933123,1,1.409933123,1
F6PA_REV,0.742670014,1.647529993,3.652902865,0.332520873
AGMHE,1.73805555,1.474252424,4.630910065,0.26709106
GMHEPAT,0.409691186,1.167472543,2.740074935,0.178371143
IDOND,1.181547501,1.248296108,5.851422883,0.076752768
IDOND_REV,1.181547501,1.248296108,5.862776247,0.05130637
IDOND2,1.181547501,1.248296108,5.800214176,0.151335565
DMPPS,0.842909248,0.991679261,2.725529555,0.496074544
IPDPS,0.842909248,0.991679261,2.656716375,0.515732882
DHDPRy,0.985422607,1.0766443,3.681889565,0.389096408
TDPADGAT,0.561078692,1.304113758,2.836960952,0.248820584
M1PD,1.181547501,1.248296108,5.756870954,0.23428426
M1PD_REV,1.181547501,1.248296108,5.778672161,0.151949259
G3PD2,1.181547501,1.248296108,5.758090276,0.224979708
G3PD2_REV,1.181547501,1.248296108,5.775988602,0.174257665
FCLK,0.505632993,1.069647604,3.939433662,0.080531447
ACCOAL,0.781890829,1.13725516,3.353768297,0.702459128
UAMAGS,0.61956431,1.087220886,3.830406144,0.367701118
UGLYCH,0.935658111,1.304652564,3.896058742,0.205875408
3HPPPNH,0.131151703,1.025400395,3.472641554,0.69026163
UGMDDS,0.61956431,1.087220886,3.896454533,0.008276419
PRATPP,0.702544969,1.380360975,3.738846124,0.281200954
ASCBPL,1.244968471,1.456722069,4.436071573,0.235684128
TMPK,0.981472956,1.214738259,2.900436427,0.109304322
MANPGH,1.3029401,1.390212674,6.154513812,0.90657003
CBMKr,2.380406645,0.916278798,3.534605039,0.057794106
CBMKr_REV,2.380406645,0.916278798,3.541166949,0.045442556
AMANAPEr,1.73805555,1.474252424,4.59215942,0.299197967
AMANAPEr_REV,1.73805555,1.474252424,4.617090834,0.294079492
ARGSL,-0.304784237,0.517422543,0.116875461,0.233622468
ARGSL_REV,-0.304784237,0.517422543,0.079117028,0.317303245
GLU5K,2.380406645,0.916278798,3.534732028,0.061319245
TMK,0.505632993,1.069647604,3.953220062,0.044075166
DHPPDA2,0.372268352,1.317981033,2.617040454,0.134935205
DBTS,-0.166805262,1.59638599,2.901329825,1.031642533
GART,0.329560117,1.443776448,2.470511319,0.554066224
GLUPRT,0.399034301,0.806953536,1.54854561,0.700317721
NTRIR2x,-0.732137139,0.352640223,0.012661784,0.085707886
PRAMPC,0.372268352,1.317981033,2.602577177,0.14477317
DXYLK,0.505632993,1.069647604,3.937945777,0.062770683
SGSAD,0.964934541,1.109275369,4.599777954,0.616116417
GPDDA5,-0.008740119,1.404303743,2.792131121,0.336939935
PRAGSr,0.376886893,1.47484136,4.900322292,1.610196428
PRAGSr_REV,0.376886893,1.47484136,5.154636946,1.344735178
MAN1PT2,0.409691186,1.167472543,2.767073476,0.164328617
MOAT2,0.380197967,0.9585964,1.689786115,0.098620749
PPPNDO,0.444200516,1.366257467,3.065477937,0.397559198
UACMAMO,1.181547501,1.248296108,5.78346649,0.14602535
ADK3,0.981472956,1.214738259,2.951369195,0.062053268
ADK3_REV,0.981472956,1.214738259,2.952337897,0.057789716
3HCINNMH,0.131151703,1.025400395,3.503181674,0.660603136
NMNt7pp,-0.069193038,1.517500238,3.292674302,0.804793061
SULabcpp,0.772471832,1.444885142,2.599974654,0.149766066
TSULabcpp,0.772471832,1.444885142,2.607365274,0.079324067
TAURabcpp,0.772471832,1.444885142,2.590920611,0.194249542
TREptspp,3.505692507,1,3.505692507,1
TKT2,1.359835482,1,1.359835482,1
TKT2_REV,1.231124108,0.117180755,1.301432561,0.093744604
FEENTERabcpp,0.772471832,1.444885142,2.596357129,0.145441878
FECRMabcpp,0.772471832,1.444885142,2.601025893,0.076269062
ARGabcpp,0.772471832,1.444885142,2.600319557,0.091935693
ASPabcpp,0.772471832,1.444885142,2.578956107,0.196151282
CYSabcpp,0.772471832,1.444885142,2.595756456,0.086292579
ARBabcpp,0.772471832,1.444885142,2.612053547,0.140735958
ECOAH8,1.367653533,1.738420325,6.541525279,0.252624894
ECOAH8_REV,1.367653533,1.738420325,6.570597503,0.218566032
ECOAH5,1.367653533,1.738420325,6.556036447,0.236724752
ECOAH5_REV,1.367653533,1.738420325,6.54147539,0.252749
DHFS,2.038323297,1.657890441,3.895157019,0.010149469
CYSabc2pp,0.772471832,1.444885142,2.607896285,0.070530726
PRASCSi,0.61956431,1.087220886,3.87227588,0.214577615
LYXI,2.33218875,0.339072293,2.83182618,0.190569553
ASPO5,0.983949989,0.653641668,1.602137501,0.356237916
MALDDH,1.294466226,1,1.294466226,1
MTHFC,0.372268352,1.317981033,2.573277204,0.168020288
MTHFC_REV,0.372268352,1.317981033,2.611198829,0.136328232
MTHFD,1.42345119,0.904677206,3.510888594,0.304160332
MTHFD_REV,1.42345119,0.904677206,3.498472481,0.306352576
QULNS,-0.279806329,1.561710059,2.892136454,0.108183354
L_LACD3,-0.060480747,0,-0.060480747,0
L_LACD2,-0.060480747,0,-0.060480747,0
GGGABADr,0.964934541,1.109275369,4.497933423,0.718403182
GGGABADr_REV,0.964934541,1.109275369,4.612123433,0.570997736
MALTATr,0.561078692,1.304113758,2.816671821,0.287288162
MALTATr_REV,0.718501689,1,0.718501689,1
ENTERES,1.244968471,1.456722069,4.439588539,0.233181245
GGGABAH,1.088424481,1.223249557,3.923045387,0.207270288
PHEMEabcpp,0.772471832,1.444885142,2.606949177,0.074040375
GALM2pp,1.73805555,1.474252424,4.619973365,0.285221115
CU1abcpp,0.772471832,1.444885142,2.604402121,0.075311162
HEPT4,1.029222445,1.003243657,3.186400712,0.242349568
NHFRBO,-0.732137139,0.352640223,-0.036754685,0.183855527
GPDDA5pp,-0.008740119,1.404303743,2.741604065,0.366082776
LALGP,1.375090687,1.385655786,3.041030037,0.14468388
PTHRpp,0.925689517,1.414702113,5.989815016,1.160575528
ZNabcpp,0.772471832,1.444885142,2.605945686,0.085547611
GRXR,0.016192732,1.027868173,1.61868807,0.424639525
ATPHs,0.372268352,1.317981033,2.658420476,0.05400897
3KGK,0.505632993,1.069647604,3.944742868,0.068818759
IDONt2rpp,0.772471832,1.444885142,2.613582825,0.067492135
IDONt2rpp_REV,0.772471832,1.444885142,2.594405523,0.15139111
TUNGSabcpp,0.772471832,1.444885142,2.583344408,0.200505535
MOBDabcpp,0.772471832,1.444885142,2.597364648,0.146518283
NI2uabcpp,0.772471832,1.444885142,2.617908176,0.069745838
R15BPK,0.981472956,1.214738259,2.909632384,0.098164967
Kabcpp,0.772471832,1.444885142,2.640474985,0.039384768
MALTabcpp,0.772471832,1.444885142,2.594048831,0.149556959
MALTTRabcpp,0.772471832,1.444885142,2.585380166,0.159836226
MALTTTRabcpp,0.772471832,1.444885142,2.619920193,0.061690278
ORNabcpp,0.772471832,1.444885142,2.585588748,0.193357299
PIuabcpp,1.252574989,0.048455007,1.271956992,0.044409747
PTRCabcpp,0.772471832,1.444885142,2.609852925,0.076290053
NTPP10,0.702544969,1.380360975,3.867313695,0.105488993
NTPP11,0.702544969,1.380360975,3.869900247,0.101102678
GAL1PPpp,0.925689517,1.414702113,6.212866693,1.064318074
ALLK,0.505632993,1.069647604,3.950733705,0.046529556
ALLULPE,1.73805555,1.474252424,4.552688393,0.328832119
ALLULPE_REV,1.73805555,1.474252424,4.620038576,0.26071062
RIBabcpp,0.772471832,1.444885142,2.582577661,0.204961744
CU2abcpp,0.772471832,1.444885142,2.63928912,0.032617091
NI2abcpp,0.772471832,1.444885142,2.610621687,0.070972992
MG2uabcpp,0.772471832,1.444885142,2.57979084,0.201139908
GLNabcpp,0.772471832,1.444885142,2.59459312,0.193405799
GLUabcpp,0.772471832,1.444885142,2.59607868,0.197806064
14GLUCANtexi,1.029222445,1.003243657,3.229156725,0.228610739
DHPTPE,0.62767953,1.06884568,2.619428749,0.078871873
DHPTPE_REV,0.62767953,1.06884568,2.628600976,0.063668806
HISabcpp,0.772471832,1.444885142,2.599910697,0.1441555
LYSabcpp,0.772471832,1.444885142,2.597959091,0.150201886
PPDOy,1.181547501,1.248296108,5.741070642,0.239037811
FALGTHLs,0.61946213,1.222273872,2.511615258,0.069680734
FALGTHLs_REV,0.61946213,1.222273872,2.519997331,0.021796642
THDPS,0.249457273,0.964625847,1.207826769,0.722877106
ACONMT,-0.949969403,1.806388936,2.079038606,0.384251481
GNK,0.505632993,1.069647604,3.950683405,0.050631901
HMBS,-0.093893959,1.589028309,2.91692809,0.027668084
RMK,0.505632993,1.069647604,3.953324704,0.055473843
HYPOE,0.925689517,1.414702113,5.972424232,1.069630013
ZN2abcpp,0.772471832,1.444885142,2.628686814,0.051744812
DAAD,0.837466077,1.017815034,2.587868196,0.255678702
GLYC3Pabcpp,0.772471832,1.444885142,2.560832987,0.269258515
SPMDabcpp,0.772471832,1.444885142,2.581390789,0.202118337
MTRPOX,0.910412741,0.64893069,1.534833778,0.629676175
NMNN,-0.069193038,1.517500238,3.314910694,0.811173639
ASO3t8pp,0.772471832,1.444885142,2.575689974,0.239689613
IG3PS,2.139879086,1,2.139879086,1
THRD_L,1.060492152,1.229731749,2.835486285,0.076192104
NAMNPP,0.376886893,1.47484136,5.277776572,1.184985067
CRNCAR,1.040508073,1.191105181,4.569441977,0.688177545
CRNCAR_REV,1.040508073,1.191105181,4.505645866,0.702584293
GALabcpp,0.772471832,1.444885142,2.611867964,0.079951783
SADH,-0.181633187,1.337199996,2.940564032,0.412500829
MCITD,1.367653533,1.738420325,6.352167927,0.375467475
GLCATr,0.561078692,1.304113758,2.850921772,0.218599186
GLCATr_REV,0.718501689,1,0.718501689,1
CD2abcpp,0.772471832,1.444885142,2.638696691,0.032947923
G2PPpp,-0.744727495,1,-0.744727495,1
AICART,0.329560117,1.443776448,2.47543926,0.545438151
AICART_REV,0.329560117,1.443776448,2.344978766,0.590761028
G6PP,1.202459424,0.774748566,2.031245866,0.026940752
UDPKAAT,0.584685794,1.148481098,2.210812004,0.746297974
UDPKAAT_REV,0.710828841,1.014162965,2.39069215,0.164931713
ULA4NFT,0.329560117,1.443776448,2.473811401,0.548626548
ALR2,1.071493634,0.836254557,1.644640215,0.462523694
GLCabcpp,0.772471832,1.444885142,2.621401332,0.05949872
ADNK1,0.505632993,1.069647604,3.965686376,0.02120704
SHCHF,-0.621597958,1.406745849,2.398240864,0.400911194
PRAIS,-0.166805262,1.59638599,2.831192417,1.060276818
AACPS7,0.781890829,1.13725516,3.479320565,0.694614491
AACPS9,0.781890829,1.13725516,3.519844988,0.664031355
2AGPEAT160,0.269073681,1.492070235,6.204512205,0.796788938
ECOAH7,1.367653533,1.738420325,6.577927921,0.208355444
ECOAH7_REV,1.367653533,1.738420325,6.505022859,0.285822583
GALCTND,1.367653533,1.738420325,6.548706029,0.245105651
GCALDD,0.964934541,1.109275369,4.603306898,0.640140101
UPP3MT,-0.949969403,1.806388936,2.046327212,0.457528245
DASYN160,0.409691186,1.167472543,2.743324086,0.17309372
DASYN161,0.409691186,1.167472543,2.74072668,0.186708613
DASYN181,0.409691186,1.167472543,2.762219194,0.171567071
CDAPPA161,0.702544969,1.380360975,3.766949894,0.251053126
PGSA180,-1.067245404,1.142104917,0.720453319,0.059965229
2AGPEAT180,0.269073681,1.492070235,6.094466766,0.929214287
PAPA160pp,0.925689517,1.414702113,6.136768366,1.075878034
HPYRI,1.876796548,1.479697917,4.796085382,0.065591669
HPYRI_REV,1.876796548,1.479697917,4.814421245,0.038752423
TPRDCOAS,0.455624706,1.594055234,4.275599654,0.236156988
FLVRx,1.42345119,0.904677206,3.616882364,0.006944597
2DOXG6PP,0.925689517,1.414702113,6.029925589,1.101616652
OXAMTC,0.828848134,1.752987112,3.099794504,0.602873706
DHNAOT4,-0.279806329,1.561710059,2.914023919,0.046934806
G3PAT141,0.269073681,1.492070235,6.240262708,0.763441125
G3PAT181,0.269073681,1.492070235,6.198097755,0.809816778
DASYN140,0.409691186,1.167472543,2.755074062,0.173693617
DASYN180,0.409691186,1.167472543,2.724591495,0.186965938
DASYN141,0.409691186,1.167472543,2.778803829,0.168815062
CDAPPA160,0.702544969,1.380360975,3.794662116,0.248017076
CDAPPA141,0.702544969,1.380360975,3.791424094,0.214912402
3HAD80,0.613370872,1.653900319,6.696194138,0.012099721
3HAD120,0.684715591,1.67667228,6.696194138,0.012099721
AGPAT120,0.269073681,1.492070235,6.10321351,0.939656663
PSSA180,-1.067245404,1.142104917,0.712643874,0.068598415
PSSA161,-1.067245404,1.142104917,0.7002437,0.090649632
PSD160,0.95144274,1.210426259,3.756030254,0.208704998
PSD161,0.95144274,1.210426259,3.760396394,0.213240575
PSD180,0.95144274,1.210426259,3.758181348,0.196306729
PLIPA2A140pp,1.244968471,1.456722069,4.441418007,0.236796368
PLIPA2A141pp,1.244968471,1.456722069,4.424226003,0.244167192
PLIPA2A180pp,1.244968471,1.456722069,4.405410398,0.240648439
CA2tex,0.772471832,1.444885142,2.586775621,0.196302253
CA2tex_REV,0.772471832,1.444885142,2.561440697,0.237819338
CU1Opp,0.194494393,1.004162694,0.636325978,0.901735863
ACONIs,2.137314402,1.405839807,5.092845453,0.685429851
ACONIs_REV,2.137314402,1.405839807,5.040969711,0.659339071
3HAD161,1.367653533,1.738420325,6.36362406,0.358510002
EAR80y,0.269073681,1.492070235,6.121219824,0.812101642
EAR120y,0.269073681,1.492070235,6.028556403,0.884025352
3HAD121,1.367653533,1.738420325,6.355836361,0.360156494
EAR140x,0.269073681,1.492070235,6.133018981,0.793474814
EAR40y,0.269073681,1.492070235,6.181102446,0.836909981
G3PAT140,0.269073681,1.492070235,6.160847675,0.932178496
G3PAT160,0.269073681,1.492070235,6.223830219,0.810722573
G3PAT161,0.269073681,1.492070235,6.074064999,0.795256186
AGPAT160,0.269073681,1.492070235,6.265502582,0.691820134
CDAPPA140,0.702544969,1.380360975,3.765582109,0.252534638
EAR100y,0.269073681,1.492070235,6.158746934,0.874464749
3HAD141,1.367653533,1.738420325,6.315473309,0.372301939
MICITDr,1.367653533,1.738420325,6.421018176,0.350543166
MICITDr_REV,1.367653533,1.738420325,6.384766192,0.363704532
CDAPPA181,0.702544969,1.380360975,3.785789019,0.212405875
PGSA181,-1.067245404,1.142104917,0.704234739,0.09102584
G3PAT180,0.269073681,1.492070235,6.170954003,0.811746172
AGPAT140,0.269073681,1.492070235,6.126623763,0.853736062
PGSA160,-1.067245404,1.142104917,0.696672349,0.097544847
3OAS140,-1.096910013,1,-1.096910013,1
PGSA161,-1.067245404,1.142104917,0.702412735,0.092854427
3HAD181,1.367653533,1.738420325,6.390711444,0.353487656
CDAPPA180,0.702544969,1.380360975,3.81520532,0.178400779
NTP12,0.702544969,1.380360975,3.764746084,0.25350651
PAPA160,0.925689517,1.414702113,6.081418581,1.043955411
PSSA160,-1.067245404,1.142104917,0.714008361,0.062077864
PSSA181,-1.067245404,1.142104917,0.71816854,0.047664846
DAGK160,0.505632993,1.069647604,3.945058533,0.067498821
AGPAT181,0.269073681,1.492070235,6.060507448,1.000031039
3HAD40,1.367653533,1.738420325,6.37246838,0.363869056
3OAS60,-1.096910013,1,-1.096910013,1
3OAS160,-1.096910013,1,-1.096910013,1
PLIPA2A120pp,1.244968471,1.456722069,4.389238133,0.264359026
PLIPA2A160pp,1.244968471,1.456722069,4.426544084,0.239972734
EAR100x,0.269073681,1.492070235,6.235207206,0.831868074
EAR120x,0.269073681,1.492070235,5.949694751,0.907598124
EAR140y,0.269073681,1.492070235,6.211510977,0.816795094
3OAS80,-1.096910013,1,-1.096910013,1
3OAS100,-1.096910013,1,-1.096910013,1
3OAS120,-1.096910013,1,-1.096910013,1
3HAD60,0.525380876,1.621057623,6.695083791,0.014165081
3HAD100,0.684715591,1.67667228,6.697304485,0.009470547
3HAD140,0.525380876,1.621057623,6.686692916,0.078966253
3HAD160,0.525380876,1.621057623,6.68558257,0.079175855
AGPAT180,0.269073681,1.492070235,6.046939967,0.870697363
AGPAT141,0.269073681,1.492070235,6.179939198,0.697676232
AGPAT161,0.269073681,1.492070235,6.18229899,0.825452124
DASYN120,0.409691186,1.167472543,2.7734682,0.166994513
EAR40x,0.269073681,1.492070235,6.205015048,0.717814877
EAR60y,0.269073681,1.492070235,6.277226834,0.726185289
EAR60x,0.269073681,1.492070235,6.118556763,0.923463649
EAR80x,0.269073681,1.492070235,6.163905341,0.770647957
3HAD180,0.793356687,1.705041937,6.648196133,0.151855402
CDAPPA120,0.702544969,1.380360975,3.790434329,0.214648765
PSSA120,-1.067245404,1.142104917,0.726482075,0.000735402
PSD120,0.95144274,1.210426259,3.748426247,0.206916223
PSD181,0.95144274,1.210426259,3.800698914,0.145408913
G3PAT120,0.269073681,1.492070235,6.143420894,0.861039686
PGSA120,-1.067245404,1.142104917,0.702314682,0.09282999
ACOAD7f,0.107615229,1.329475135,2.475072699,0.210137395
ACOAD7f_REV,0.107615229,1.329475135,2.437607111,0.255948243
ACOAD5f,0.11136837,1.332826683,2.435854824,0.248961505
ACOAD5f_REV,0.11136837,1.332826683,2.508067217,0.178931404
ACOAD3f,0.11136837,1.332826683,2.470576539,0.224543978
ACOAD3f_REV,0.11136837,1.332826683,2.458943245,0.234403328
ACOAD2f,1.454902359,0.738005881,2.293261414,0.422869208
ACOAD2f_REV,1.454902359,0.738005881,2.217518415,0.435725008
ACOAD4f,1.454902359,0.738005881,2.271687569,0.457709495
ACOAD4f_REV,1.454902359,0.738005881,2.327550218,0.370241529
ACOAD6f,0.107615229,1.329475135,2.492090841,0.192944457
ACOAD6f_REV,0.107615229,1.329475135,2.505451332,0.172633813
GDPMNP,0.702544969,1.380360975,3.872566028,0.102463502
AMMQLT8,-0.949969403,1.806388936,2.023582605,0.444893218
FA120ACPHi,0.32928722,1.162974913,2.548358444,0.122027492
FA80ACPHi,0.32928722,1.162974913,2.542840025,0.136760666
FA140ACPHi,0.32928722,1.162974913,2.553404288,0.115411327
FA100ACPHi,0.32928722,1.162974913,2.55360376,0.119860398
2MAHMP,0.702544969,1.380360975,3.813522583,0.188244881
FA161ACPHi,0.32928722,1.162974913,2.525641017,0.145943416
FA141ACPHi,0.32928722,1.162974913,2.563247722,0.11122006
FA160ACPHi,0.32928722,1.162974913,2.551173631,0.114522965
GALCTLO,1.181547501,1.248296108,5.751022412,0.224325539
FE3abcpp,0.772471832,1.444885142,2.601037157,0.145234962
XYLK2,1.84509804,1,1.84509804,1
MPTAT,0.409691186,1.167472543,2.738602174,0.180439687
3AMACHYD,1.088424481,1.223249557,3.905640311,0.20758348
CCGS,0.376886893,1.47484136,5.151804619,1.359228486
CBMD,1.16926794,1.397899556,6.35005534,0.379535737
CPH4S,0.742670014,1.647529993,3.661149386,0.320681212
URACPAH,1.088424481,1.223249557,3.873105622,0.223186059
GTHPi,1.994832281,1.720015706,5.469214605,0.191761089
TYRL,-1.434833116,1.690105621,-0.52217608,1.422502775
OXDHCOAT,0.718501689,1,0.718501689,1
OPMEACPD,1.367653533,1.738420325,6.342419363,0.37345955
OGMEACPD,1.367653533,1.738420325,6.345179459,0.366120563
DHACOAH,1.367653533,1.738420325,6.308677039,0.370924903
DHACOAH_REV,1.367653533,1.738420325,6.398984393,0.349574658
CPMPS,-0.348280178,1.345764926,1.57187542,0.17355138
VPAMTr,0.069387151,0.953410328,1.244302502,0.550845072
VPAMTr_REV,0.601359259,0.790672423,1.51778858,0.108694759
AP4AS,0.409691186,1.167472543,2.767115062,0.163883115
ThDPAT,0.409691186,1.167472543,2.753466559,0.196044993
G2PP,-0.744727495,1,-0.744727495,1
5DGLCNR,1.181547501,1.248296108,5.867695523,0.044485538
MOX,2.412941371,0.787211986,3.653737082,0.099752008
4HTHRK,0.505632993,1.069647604,3.943244148,0.069888737
PPS,0.472366659,1.361920004,3.951194487,0.04942006
NO3R2bpp,1.86779945,0.035290537,1.884033097,0.031335135
SELNPS,0.472366659,1.361920004,3.946687493,0.074899715
HYD3pp,1.005029826,1.57117533,2.942896366,0.075787069
HEPT1,0.848599978,1.218801919,4.248631021,0.260681283
INOSTO,0.748415016,1.680422002,4.529600927,1.051663876
INOSTO_REV,0.748415016,1.680422002,4.5336277,1.045973087
SPODM,1.000366974,1.302494786,5.7943321,0.128670014
BSORy,1.000366974,1.302494786,5.804287268,0.117243197
SPODMpp,1.000366974,1.302494786,5.788458252,0.141285329
