NAME,ENTRY
Q0045,P00401
Q0080,P00856
Q0085,P00854
Q0105,P00163
Q0130,P61829
Q0250,P00410
Q0275,P00420
YAL012W,P31373
YAL022C,P31381
YAL023C,P31382
YAL026C,P39524
YAL035W,P39730
YAL038W,P00549
YAL039C,P06182
YAL044C,P39726
YAL054C,Q01574
YAL060W,P39714
YAL061W,P39713
YAL062W,P39708
YAR015W,P27616
YAR035W,P80235
YAR071W,P35842
YBL011W,P32784
YBL013W,P32785
YBL015W,P32316
YBL030C,P18239
YBL033C,P38066
YBL039C,P28274
YBL042C,P38196
YBL045C,P07256
YBL064C,P34227
YBL068W,P38063
YBL076C,P09436
YBL080C,P33893
YBL091C,P38174
YBL098W,P38169
YBL099W,P07251
YBR001C,P35172
YBR002C,P35196
YBR003W,P18900
YBR004C,P38211
YBR006W,P38067
YBR011C,P00817
YBR018C,P08431
YBR019C,P04397
YBR020W,P04385
YBR021W,P05316
YBR022W,P38218
YBR023C,P29465
YBR026C,P38071
YBR029C,P38221
YBR034C,P38074
YBR035C,P38075
YBR036C,P35206
YBR038W,P14180
YBR039W,P38077
YBR041W,P38225
YBR042C,P38226
YBR046C,P38230
YBR058C-A,Q3E790
YBR068C,P38084
YBR069C,P38085
YBR070C,P38242
YBR084W,P09440
YBR085W,P18238
YBR092C,P24031
YBR093C,P00635
YBR097W,P22219
YBR110W,P16661
YBR111C,Q01976
YBR115C,P07702
YBR117C,P33315
YBR121C,P38088
YBR126C,Q00764
YBR127C,P16140
YBR128C,P38270
YBR132C,P38090
YBR145W,P38113
YBR147W,P38279
YBR149W,P38115
YBR153W,P33312
YBR159W,P38286
YBR161W,P38287
YBR166C,P20049
YBR176W,P38122
YBR177C,P38295
YBR180W,P38125
YBR183W,P38298
YBR192W,P38127
YBR196C,P12709
YBR199W,P38131
YBR204C,P38139
YBR205W,P38130
YBR208C,P32528
YBR213W,P15807
YBR218C,P32327
YBR221C,P32473
YBR222C,P38137
YBR229C,P38138
YBR235W,P38329
YBR241C,P38142
YBR242W,P38331
YBR243C,P07286
YBR244W,P38143
YBR248C,P33734
YBR249C,P32449
YBR252W,P33317
YBR256C,P38145
YBR263W,P37292
YBR265W,P38342
YBR281C,P38149
YBR291C,P38152
YBR293W,P38358
YBR294W,P38359
YBR295W,P38360
YBR296C,P38361
YBR298C,P38156
YBR299W,P38158
YCL004W,P25578
YCL005W-A,Q3E7B6
YCL009C,P25605
YCL017C,P25374
YCL018W,P04173
YCL025C,P25376
YCL030C,P00815
YCL035C,P25373
YCL038C,P25568
YCL040W,P17709
YCL047C,P25576
YCL050C,P16550
YCL052C,P25580
YCL064C,P25379
YCL069W,P25594
YCR005C,P08679
YCR010C,P25613
YCR011C,P25371
YCR012W,P00560
YCR024C,P32903
YCR024C-A,P32903
YCR028C,P25621
YCR034W,P25358
YCR036W,P25332
YCR037C,P25360
YCR048W,P25628
YCR053W,P16120
YCR068W,P25641
YCR075C,P17261
YCR083W,P25372
YCR098C,P25346
YCR105W,P25377
YCR107W,P25612
YDL004W,Q12165
YDL015C,Q99190
YDL022W,Q00055
YDL024C,P52290
YDL040C,P12945
YDL042C,P06700
YDL045C,P38913
YDL052C,P33333
YDL055C,P41940
YDL066W,P21954
YDL067C,P07255
YDL078C,P32419
YDL080C,Q07471
YDL085W,Q07500
YDL090C,P22007
YDL093W,P52867
YDL095W,P33775
YDL100C,Q12154
YDL103C,P43123
YDL120W,Q07540
YDL131W,Q12122
YDL141W,P48445
YDL142C,Q07560
YDL166C,Q12055
YDL168W,P32771
YDL171C,Q12680
YDL174C,P32891
YDL178W,P46681
YDL182W,P48570
YDL185W,P17255
YDL198C,P38988
YDL205C,P28789
YDL210W,P32837
YDL215C,P33327
YDL219W,Q07648
YDL236W,P19881
YDL238C,Q07729
YDL243C,Q07747
YDL245C,P54854
YDL246C,Q07786
YDL247W,P0CD99
YDR001C,P32356
YDR007W,P00912
YDR009W,P13045
YDR017C,Q12494
YDR019C,P48015
YDR020C,Q12084
YDR023W,P07284
YDR035W,P14843
YDR036C,P28817
YDR037W,P15180
YDR038C,Q12691
YDR039C,Q01896
YDR040C,P13587
YDR044W,P11353
YDR046C,P41815
YDR047W,P32347
YDR050C,P00942
YDR051C,Q99288
YDR058C,P54857
YDR062W,P40970
YDR071C,Q12447
YDR072C,P38954
YDR074W,P31688
YDR093W,Q12675
YDR098C,Q03835
YDR105C,Q12116
YDR109C,Q04585
YDR111C,P52892
YDR127W,P08566
YDR135C,P39109
YDR147W,Q03764
YDR148C,P19262
YDR158W,P13663
YDR173C,P07250
YDR178W,P37298
YDR191W,P53688
YDR196C,Q03941
YDR204W,O13525
YDR208W,P38994
YDR226W,P07170
YDR231C,Q04935
YDR232W,P09950
YDR234W,P49367
YDR236C,Q03778
YDR242W,P22580
YDR248C,Q03786
YDR256C,P15202
YDR261C,Q07793
YDR268W,P04803
YDR270W,P38995
YDR272W,Q05584
YDR284C,Q05521
YDR287W,Q05533
YDR294C,Q05567
YDR297W,P38992
YDR298C,P09457
YDR300C,P32264
YDR302W,Q06636
YDR305C,P49775
YDR315C,Q06667
YDR321W,P38986
YDR322C-A,P81449
YDR341C,Q05506
YDR342C,P39004
YDR343C,P39003
YDR345C,P32466
YDR352W,Q06328
YDR353W,P29509
YDR354W,P07285
YDR367W,Q06346
YDR368W,Q12458
YDR371W,Q06350
YDR373W,Q06389
YDR376W,P48360
YDR377W,Q06405
YDR380W,Q06408
YDR384C,Q12359
YDR387C,Q04162
YDR399W,Q04178
YDR400W,Q04179
YDR402C,P21595
YDR403W,P21623
YDR408C,P04161
YDR410C,P32584
YDR428C,Q04066
YDR437W,Q04082
YDR440W,Q04089
YDR441C,P36973
YDR452W,Q04119
YDR453C,Q04120
YDR454C,P15454
YDR456W,Q04121
YDR481C,P11491
YDR483W,P27809
YDR487C,Q99258
YDR497C,P30605
YDR502C,P19358
YDR503C,Q04396
YDR508C,P48813
YDR513W,P17695
YDR516C,Q04409
YDR529C,P00128
YDR530C,P22108
YDR531W,Q04430
YDR533C,Q04432
YDR536W,P39932
YDR538W,P33751
YDR539W,Q03034
YEL004W,P40004
YEL006W,P39953
YEL017C-A,P40975
YEL021W,P03962
YEL024W,P08067
YEL027W,P25515
YEL029C,P39988
YEL031W,P39986
YEL038W,P32626
YEL039C,P00045
YEL041W,P32622
YEL042W,P32621
YEL046C,P37303
YEL047C,P32614
YEL051W,P32610
YEL058W,P38628
YEL063C,P04817
YEL066W,P39979
YEL069C,P39924
YEL070W,P0CX08
YEL071W,P39976
YER003C,P29952
YER005W,P40009
YER010C,P40011
YER014W,P40012
YER015W,P39518
YER019W,P40015
YER023W,P32263
YER024W,P40017
YER026C,P08456
YER037W,P40025
YER042W,P40029
YER043C,P39954
YER052C,P10869
YER053C,P40035
YER055C,P00498
YER056C,P17064
YER060W,P40039
YER060W-A,Q12119
YER061C,P39525
YER062C,P40106
YER065C,P28240
YER069W,Q01217
YER070W,P21524
YER073W,P40047
YER081W,P40054
YER086W,P00927
YER087W,P39965
YER090W,P00899
YER091C,P05694
YER099C,P38620
YER119C,P40074
YER141W,P40086
YER152C,P10356
YER163C,P32656
YER170W,P26364
YER174C,P32642
YER175C,P32643
YER178W,P16387
YER183C,P40099
YFL001W,P31115
YFL011W,P43581
YFL017C,P43577
YFL018C,P09624
YFL022C,P15625
YFL030W,P43567
YFL045C,P07283
YFL053W,P43550
YFL054C,P43549
YFL055W,P43548
YFL058W,P43534
YFL059W,P43545
YFL060C,P43544
YFL061W,P0CH63
YFR015C,P23337
YFR019W,P34756
YFR021W,P43601
YFR025C,P38635
YFR030W,P39692
YFR033C,P00127
YFR044C,P43616
YFR047C,P43619
YFR049W,P19955
YFR053C,P04806
YFR055W,P43623
YGL001C,P53199
YGL006W,P38929
YGL008C,P05030
YGL009C,P07264
YGL012W,P25340
YGL017W,P16639
YGL026C,P00931
YGL027C,P53008
YGL037C,P53184
YGL038C,P31755
YGL040C,P05373
YGL047W,P53178
YGL055W,P21147
YGL062W,P11154
YGL063W,P53167
YGL065C,P43636
YGL067W,P53164
YGL077C,P19807
YGL080W,P53157
YGL084C,P53154
YGL101W,P53144
YGL125W,P53128
YGL142C,P30777
YGL148W,P28777
YGL154C,P50113
YGL156W,P22855
YGL167C,P13586
YGL169W,P32579
YGL184C,P53101
YGL186C,P53099
YGL187C,P04037
YGL191W,P32799
YGL196W,P53095
YGL202W,P53090
YGL205W,P13711
YGL224C,P53078
YGL225W,P40107
YGL234W,P07244
YGL245W,P46655
YGL248W,P22434
YGL253W,P04807
YGL255W,P32804
YGL256W,P10127
YGR007W,P33412
YGR010W,P53204
YGR012W,P53206
YGR015C,P53208
YGR019W,P17649
YGR020C,P39111
YGR032W,P40989
YGR036C,P53223
YGR038W,P53224
YGR043C,P53228
YGR046W,P53230
YGR055W,P50276
YGR060W,P53045
YGR061C,P38972
YGR062C,P53239
YGR065C,P53241
YGR087C,P26263
YGR088W,P06115
YGR094W,P07806
YGR096W,P53257
YGR106C,P53262
YGR110W,P53264
YGR121C,P40260
YGR124W,P49090
YGR138C,P53283
YGR143W,P33336
YGR144W,P32318
YGR154C,P48239
YGR155W,P32582
YGR157W,P05374
YGR170W,P53037
YGR171C,P22438
YGR175C,P32476
YGR177C,P53296
YGR180C,P49723
YGR183C,P22289
YGR185C,P36421
YGR191W,P06775
YGR192C,P00359
YGR193C,P16451
YGR194C,P42826
YGR202C,P13259
YGR204W,P07245
YGR208W,P42941
YGR209C,P22803
YGR216C,P53306
YGR227W,P50076
YGR234W,P39676
YGR240C,P16861
YGR243W,P53311
YGR244C,P53312
YGR247W,P53314
YGR248W,P53315
YGR254W,P00924
YGR255C,P53318
YGR256W,P53319
YGR260W,P53322
YGR264C,P00958
YGR267C,P51601
YGR277C,P53332
YGR282C,P15703
YGR286C,P32451
YGR287C,P53051
YGR289C,P53048
YGR292W,P53341
YHL003C,P38703
YHL011C,P38689
YHL012W,P38709
YHL016C,P33413
YHL018W,P38744
YHL032C,P32190
YHL036W,P38734
YHR001W-A,P37299
YHR002W,P38702
YHR007C,P10614
YHR008C,P00447
YHR011W,P38705
YHR013C,P07347
YHR018C,P04076
YHR019C,P38707
YHR020W,P38708
YHR025W,P17423
YHR026W,P23968
YHR037W,P07275
YHR039C-A,P48836
YHR042W,P16603
YHR043C,P38773
YHR044C,P38774
YHR046C,P38710
YHR051W,P00427
YHR063C,P38787
YHR067W,P38790
YHR068W,P38791
YHR072W,P38604
YHR074W,P38795
YHR091C,P38714
YHR092C,P32467
YHR094C,P32465
YHR096C,P38695
YHR100C,P38812
YHR104W,P38715
YHR106W,P38816
YHR109W,P38818
YHR116W,P38824
YHR119W,P38827
YHR123W,P22140
YHR128W,P18562
YHR137W,P38840
YHR144C,P06773
YHR162W,P38857
YHR163W,P38858
YHR174W,P00925
YHR183W,P38720
YHR190W,P29704
YHR201C,P38698
YHR208W,P38891
YHR215W,P38693
YHR216W,P38697
YIL002C,P40559
YIL006W,P40556
YIL009W,P39002
YIL010W,P40553
YIL013C,P40550
YIL020C,P40545
YIL023C,P40544
YIL043C,P38626
YIL048W,P40527
YIL053W,P41277
YIL066C,P21672
YIL074C,P40510
YIL078W,P04801
YIL083C,P40506
YIL094C,P40495
YIL099W,P08019
YIL107C,P40433
YIL111W,P00425
YIL116W,P07172
YIL124W,P40471
YIL125W,P20967
YIL134W,P40464
YIL145C,P40459
YIL155C,P32191
YIL160C,P27796
YIL162W,P00724
YIL166C,P40445
YIL172C,P0CW40
YIR027C,P32375
YIR028W,Q04895
YIR029W,P25335
YIR031C,P21826
YIR032C,P32459
YIR034C,P38998
YIR036C,P40580
YIR037W,P40581
YIR038C,P40582
YJL003W,P47081
YJL005W,P08678
YJL012C,P47075
YJL026W,P09938
YJL045W,P47052
YJL046W,P47051
YJL052W,P00360
YJL060W,P47039
YJL068C,P40363
YJL071W,P40360
YJL088W,P05150
YJL091C,P47026
YJL097W,P40857
YJL100W,P42951
YJL101C,P32477
YJL121C,P46969
YJL126W,P47016
YJL129C,P12685
YJL130C,P07259
YJL133W,P10566
YJL134W,P47013
YJL137C,P47011
YJL139C,P26725
YJL153C,P11986
YJL155C,P32604
YJL166W,P08525
YJL167W,P08524
YJL168C,P46995
YJL196C,P39540
YJL198W,P39535
YJL200C,P39533
YJL212C,P40897
YJL214W,P40886
YJL216C,P40884
YJL219W,P40885
YJL221C,P0CW41
YJR001W,P47082
YJR009C,P00358
YJR010W,P08536
YJR013W,P47088
YJR016C,P39522
YJR019C,P41903
YJR024C,P47095
YJR025C,P47096
YJR040W,P37020
YJR048W,P00044
YJR049C,P21373
YJR051W,P21375
YJR057W,P00572
YJR069C,P47119
YJR073C,P05375
YJR077C,P23641
YJR078W,P47125
YJR095W,P33303
YJR103W,P38627
YJR104C,P00445
YJR105W,P47143
YJR109C,P03965
YJR110W,P47147
YJR121W,P00830
YJR130C,P47164
YJR131W,P32906
YJR133W,P47165
YJR137C,P47169
YJR139C,P31116
YJR143C,P46971
YJR148W,P47176
YJR149W,P47177
YJR152W,P15365
YJR153W,P47180
YJR155W,P47182
YJR158W,P47185
YJR159W,P35497
YJR160C,P0CE00
YKL001C,Q02196
YKL004W,P36107
YKL008C,P28496
YKL016C,P30902
YKL019W,P29703
YKL024C,P15700
YKL026C,P36014
YKL029C,P36013
YKL035W,P32861
YKL055C,P35731
YKL060C,P14540
YKL067W,P36010
YKL069W,P36088
YKL080W,P31412
YKL085W,P17505
YKL087C,Q00873
YKL088W,P36076
YKL094W,P28321
YKL103C,P14904
YKL104C,P14742
YKL106W,Q01802
YKL120W,P32332
YKL127W,P33401
YKL132C,P36001
YKL140W,P34163
YKL141W,P33421
YKL146W,P36062
YKL148C,Q00711
YKL150W,P36060
YKL152C,P00950
YKL165C,P36051
YKL174C,P36029
YKL181W,P32895
YKL182W,P07149
YKL184W,P08432
YKL188C,P34230
YKL192C,P32463
YKL194C,P07236
YKL211C,P00937
YKL212W,P32368
YKL215C,P28273
YKL216W,P28272
YKL217W,P36035
YKL218C,P36007
YKL220C,P36033
YKR009C,Q02207
YKR031C,P36126
YKR039W,P19145
YKR043C,P36136
YKR052C,P23500
YKR053C,P23501
YKR058W,P36143
YKR061W,P33550
YKR066C,P00431
YKR067W,P36148
YKR069W,P36150
YKR072C,P36024
YKR076W,P36156
YKR080W,Q02046
YKR089C,P36165
YKR093W,P32901
YKR097W,P10963
YLL001W,P54861
YLL012W,Q07804
YLL015W,P14772
YLL018C,P04802
YLL018C-A,Q3E731
YLL028W,Q07824
YLL031C,Q07830
YLL041C,P21801
YLL043W,P23900
YLL048C,P32386
YLL051C,Q12473
YLL052C,P0CD90
YLL053C,P0CD98
YLL057C,Q12358
YLL058W,Q12198
YLL060C,Q12390
YLL061W,Q12372
YLL062C,Q12525
YLR011W,Q07923
YLR017W,Q07938
YLR020C,Q07950
YLR027C,P23542
YLR028C,P54113
YLR038C,Q01519
YLR043C,P22217
YLR044C,P06169
YLR047C,Q12209
YLR056W,P32353
YLR057W,Q12205
YLR058C,P37291
YLR060W,P15624
YLR070C,Q07993
YLR081W,P13181
YLR089C,P52893
YLR092W,Q12325
YLR099C,Q12385
YLR100W,Q12452
YLR109W,P38013
YLR130C,Q12436
YLR133W,P20485
YLR134W,P16467
YLR138W,Q99271
YLR142W,P09368
YLR143W,Q12429
YLR146C,Q12455
YLR151C,Q12524
YLR153C,P52910
YLR155C,P0CZ17
YLR157C,P0CX77
YLR158C,P0CX78
YLR160C,P0CX79
YLR164W,Q06236
YLR172C,P32469
YLR174W,P41939
YLR180W,P10659
YLR189C,Q06321
YLR201C,Q05779
YLR209C,Q05788
YLR211C,Q05789
YLR214W,P32791
YLR231C,Q05979
YLR237W,Q05998
YLR239C,Q06005
YLR240W,P22543
YLR244C,Q01662
YLR245C,Q06549
YLR258W,P27472
YLR260W,Q06147
YLR284C,Q05871
YLR285W,Q05874
YLR286C,P29029
YLR295C,Q12349
YLR299W,Q05902
YLR300W,P23776
YLR303W,P06106
YLR304C,P19414
YLR305C,P37297
YLR307W,Q06702
YLR308W,Q06703
YLR328W,Q06178
YLR342W,P38631
YLR345W,Q06137
YLR348C,Q06143
YLR350W,Q06144
YLR351C,P49954
YLR354C,P15019
YLR355C,P06168
YLR359W,Q05911
YLR360W,Q05919
YLR372W,P40319
YLR377C,P09201
YLR382C,P11325
YLR386W,Q06708
YLR395C,P04039
YLR410W,Q06685
YLR420W,P20051
YLR432W,P50095
YLR438W,P07991
YLR446W,Q06204
YLR447C,P32366
YLR450W,P12684
YML004C,P50107
YML008C,P25087
YML022W,P49435
YML035C,P15274
YML042W,P32796
YML054C,P00175
YML056C,P50094
YML059C,Q04958
YML070W,P54838
YML075C,P12683
YML081C-A,P81450
YML082W,Q04533
YML086C,P54783
YML100W,P38427
YML106W,P13298
YML110C,P49017
YML120C,P32340
YML123C,P25297
YML125C,Q12746
YML126C,P54839
YMR006C,Q03674
YMR008C,P39105
YMR009W,Q03677
YMR011W,P23585
YMR013C,P20048
YMR015C,P54781
YMR020W,P50264
YMR041C,Q04212
YMR054W,P37296
YMR056C,P04710
YMR058W,P38993
YMR062C,Q04728
YMR083W,P07246
YMR084W,A2P2R3
YMR087W,Q04299
YMR088C,Q04301
YMR099C,Q03161
YMR101C,Q03175
YMR105C,P37012
YMR108W,P07342
YMR110C,Q04458
YMR113W,Q12676
YMR120C,P38009
YMR145C,P40215
YMR162C,Q12674
YMR165C,P32567
YMR169C,P54114
YMR170C,P47771
YMR189W,P49095
YMR202W,P32352
YMR205C,P16862
YMR207C,P32874
YMR208W,P07277
YMR210W,Q03649
YMR217W,P38625
YMR220W,P24521
YMR226C,Q05016
YMR241W,Q04013
YMR243C,P20107
YMR246W,P47912
YMR250W,Q04792
YMR251W,Q05827
YMR256C,P10174
YMR261C,P38426
YMR267W,P28239
YMR271C,P30402
YMR272C,Q03529
YMR278W,Q03262
YMR281W,P23797
YMR289W,Q03266
YMR293C,Q03557
YMR296C,P25045
YMR298W,Q03579
YMR300C,P04046
YMR301C,P40416
YMR303C,P00331
YMR306W,Q04952
YMR313C,P40308
YMR318C,Q04894
YMR319C,P40988
YMR322C,Q04902
YMR323W,P42222
YNL003C,P38921
YNL009W,P53982
YNL029C,P53966
YNL036W,P53615
YNL037C,P28834
YNL038W,P53961
YNL045W,Q10740
YNL048W,P53954
YNL052W,P00424
YNL054W,P53950
YNL065W,P53943
YNL071W,P12695
YNL073W,P32048
YNL092W,P53934
YNL101W,P50944
YNL104C,P06208
YNL106C,P50942
YNL117W,P30952
YNL129W,P53915
YNL130C,P17898
YNL141W,P53909
YNL142W,P41948
YNL169C,P39006
YNL191W,P53871
YNL192W,P08004
YNL202W,P32573
YNL219C,P53868
YNL220W,P80210
YNL229C,P23202
YNL241C,P11412
YNL247W,P53852
YNL256W,P53848
YNL267W,P39104
YNL268W,P32487
YNL270C,P38971
YNL274C,P53839
YNL275W,P53838
YNL277W,P08465
YNL280C,P32462
YNL292W,P48567
YNL316C,P32452
YNL318C,P42833
YNL325C,P42837
YNL331C,P42884
YNL333W,P53824
YNL334C,P53823
YNL335W,P0CH64
YNR001C,P00890
YNR008W,P40345
YNR012W,P27515
YNR013C,P27514
YNR016C,Q00955
YNR019W,P53629
YNR027W,P53727
YNR030W,P53730
YNR033W,P37254
YNR041C,P32378
YNR043W,P32377
YNR050C,P38999
YNR056C,P53744
YNR057C,P53630
YNR058W,P50277
YNR060W,P53746
YNR067C,P53753
YNR072W,P53631
YNR073C,P0CX09
YOL011W,Q08108
YOL020W,P38967
YOL033W,P48525
YOL049W,Q08220
YOL052C,P21182
YOL055C,Q08224
YOL058W,P22768
YOL059W,P41911
YOL061W,Q12265
YOL064C,P32179
YOL065C,Q08227
YOL066C,Q12362
YOL068C,P53685
YOL075C,Q08234
YOL077W-A,P81451
YOL086C,P00330
YOL092W,Q12010
YOL096C,P27680
YOL097C,Q12109
YOL103W,P30606
YOL122C,P38925
YOL126C,P22133
YOL130W,Q08269
YOL136C,Q12471
YOL140W,P18544
YOL143C,P50861
YOL151W,Q12068
YOL152W,Q12333
YOL156W,P54862
YOL157C,Q08295
YOL165C,Q08361
YOR002W,Q12001
YOR011W,Q08409
YOR025W,P53687
YOR040W,Q12320
YOR054C,Q08438
YOR065W,P07143
YOR067C,P40351
YOR071C,Q08485
YOR074C,P06785
YOR081C,Q12043
YOR095C,Q12189
YOR099W,P27810
YOR100C,Q12289
YOR108W,Q12166
YOR109W,Q12271
YOR120W,P14065
YOR125C,P41735
YOR126C,P41734
YOR128C,P21264
YOR130C,Q12375
YOR136W,P28241
YOR142W,P53598
YOR143C,P35202
YOR149C,Q04174
YOR155C,Q99312
YOR161C,Q12412
YOR163W,Q99321
YOR168W,P13188
YOR171C,Q12246
YOR175C,Q08548
YOR176W,P16622
YOR180C,Q08558
YOR184W,P33330
YOR190W,P32603
YOR192C,Q08579
YOR196C,P32875
YOR202W,P06633
YOR209C,P39683
YOR221C,Q12283
YOR222W,Q99297
YOR226C,Q12056
YOR236W,P07807
YOR241W,Q08645
YOR245C,Q08650
YOR251C,Q08686
YOR253W,Q08689
YOR270C,P32563
YOR273C,Q12256
YOR278W,P06174
YOR283W,Q12040
YOR285W,Q12305
YOR286W,Q08742
YOR303W,P07258
YOR306C,Q08777
YOR311C,Q12382
YOR316C,P32798
YOR317W,P30624
YOR321W,P47190
YOR323C,P54885
YOR332W,P22203
YOR334W,Q01926
YOR335C,P40825
YOR347C,P52489
YOR348C,P15380
YOR360C,P06776
YOR374W,P46367
YOR375C,P07262
YOR377W,P40353
YOR381W,Q08905
YOR384W,Q08908
YOR388C,Q08911
YOR391C,Q08914
YOR393W,P0CX10
YPL015C,P53686
YPL023C,P46151
YPL028W,P41338
YPL036W,P19657
YPL040C,P48526
YPL053C,P54070
YPL057C,P33300
YPL059W,Q02784
YPL060W,Q02783
YPL061W,P54115
YPL069C,Q12051
YPL076W,P46961
YPL078C,P05626
YPL087W,Q02896
YPL088W,Q02895
YPL091W,P41921
YPL092W,P41930
YPL095C,Q02891
YPL096C-A,P62651
YPL097W,P48527
YPL104W,P15179
YPL110C,Q02979
YPL111W,P00812
YPL117C,P15496
YPL120W,Q02948
YPL132W,P19516
YPL134C,Q03028
YPL135W,Q03020
YPL147W,P41909
YPL148C,Q12036
YPL160W,P26637
YPL172C,P21592
YPL175W,P32363
YPL188W,Q06892
YPL189W,Q08929
YPL206C,Q08959
YPL212C,Q12211
YPL214C,P41835
YPL227C,P40350
YPL231W,P19097
YPL234C,P32842
YPL244C,Q12520
YPL252C,Q12184
YPL258C,Q08975
YPL262W,P08417
YPL265W,P53388
YPL268W,P32383
YPL271W,P21306
YPL273W,Q08985
YPL274W,Q08986
YPL280W,Q08992
YPL281C,P0CX11
YPR001W,P43635
YPR002W,Q12428
YPR003C,P53394
YPR006C,Q12031
YPR011C,Q12251
YPR020W,Q12233
YPR021C,Q12482
YPR026W,P48016
YPR033C,P07263
YPR035W,P32288
YPR036W,P41807
YPR047W,P08425
YPR058W,P32331
YPR060C,P32178
YPR062W,Q12178
YPR069C,Q12074
YPR074C,P23254
YPR081C,Q06817
YPR113W,P06197
YPR118W,Q06489
YPR121W,Q06490
YPR127W,Q06494
YPR128C,Q06497
YPR138C,P53390
YPR139C,Q06508
YPR140W,Q06510
YPR145W,P49089
YPR156C,Q06451
YPR159W,P32486
YPR160W,P06738
YPR165W,P06780
YPR167C,P18408
YPR170W-B,P0C5R9
YPR183W,P14020
YPR184W,Q06625
YPR191W,P07257
YPR192W,P0CD91
YPR193C,Q06592
