,GAN_2,GAN_5,GAN_10,GAN_50,GAN_100
Corr,0.287493989,0.320282059,0.310658139,0.327839898,0.308585282
Corr,0.293754631,0.318873393,0.309090622,0.335099291,0.299850377
Corr,0.354964762,0.328028553,0.325288896,0.338790497,0.300168331
Corr,0.35711962,0.331878093,0.329151793,0.334171605,0.304764832
Corr,0.358797626,0.333114711,0.336857821,0.338989415,0.309176512
Corr,0.369828311,0.348080483,0.351362178,0.347890768,0.318778154
Corr,0.365954915,0.347251755,0.350629775,0.34596352,0.321687348
Corr,0.321102987,0.337054966,0.307521463,0.366305902,0.299546054
Corr,0.339002481,0.33026289,0.328659852,0.364341722,0.346319495
Extra,112,112,108,102,89
Extra,97,103,94,93,83
Extra,93,88,80,72,76
Extra,83,78,73,66,69
Extra,62,68,62,57,58
Extra,62,67,62,58,59
Extra,61,65,62,58,60
Extra,61,68,62,51,55
Extra,58,59,61,47,51
Number,257,270,265,268,268
Number,258,269,264,268,272
Number,267,271,266,268,268
Number,267,271,266,268,268
Number,265,271,266,271,268
Number,265,271,266,269,268
Number,265,271,266,269,268
Number,261,267,267,270,270
Number,269,264,267,270,269